.123	application/vnd.lotus-1-2-3
.rm	application/vnd.rn-realmedia
#.rm	audio/x-pn-realaudio
.rmi	audio/mid
#.rmi	audio/midi
.rmm	audio/x-pn-realaudio
.rmp	audio/x-pn-realaudio
#.rmp	audio/x-pn-realaudio-plugin
.rms	application/vnd.jcp.javame.midlet-rms
.rnc	application/relax-ng-compact-syntax
.rng	application/ringing-tones
#.rng	application/vnd.nokia.ringing-tone
.rnx	application/vnd.rn-realplayer
#.roff	application/x-troff
.roff	text/troff
.rp	image/vnd.rn-realpix
.rpa	application/x-redhat-package-manager
.rpm	application/x-rpm
#.rpm	audio/x-pn-realaudio-plugin
.rpss	application/vnd.nokia.radio-presets
.rpst	application/vnd.nokia.radio-preset
.rq	application/sparql-query
.rs	application/rls-services+xml
.rsd	application/rsd+xml
.rss	application/rss+xml
.rt	text/richtext
#.rt	text/vnd.rn-realtext
.rtf	application/rtf
#.rtf	application/x-rtf
#.rtf	text/richtext
.rtx	application/rtf
#.rtx	text/richtext
.rv	video/vnd.rn-realvideo
.rw2	image/x-panasonic-raw
.rwl	image/x-panasonic-raw
.s3m	audio/s3m
.saf	application/vnd.yamaha.smaf-audio
.saveme	application/octet-stream
.sbk	application/x-tbook
.sbml	application/sbml+xml
.sc	application/vnd.ibm.secure-container
.scala	text/x-scala
.scd	application/x-msschedule
.scm	application/vnd.lotus-screencam
#.scm	application/x-lotusscreencam
#.scm	text/x-script.guile
#.scm	text/x-script.scheme
#.scm	video/x-scm
.scq	application/scvp-cv-request
.scs	application/scvp-cv-response
.scurl	text/vnd.curl.scurl
.sda	application/vnd.stardivision.draw
.sdc	application/vnd.stardivision.calc
.sdd	application/vnd.stardivision.impress
.sdkd	application/vnd.solent.sdkm+xml
.sdkm	application/vnd.solent.sdkm+xml
.sdml	text/plain
.sdp	application/sdp
#.sdp	application/x-sdp
.sdr	application/sounder
.sdw	application/vnd.stardivision.writer
.sea	application/sea
#.sea	application/x-sea
.see	application/vnd.seemail
.seed	application/vnd.fdsn.seed
.sema	application/vnd.sema
.semd	application/vnd.semd
.semf	application/vnd.semf
.ser	application/java-serialized-object
.set	application/set
.setpay	application/set-payment-initiation
.setreg	application/set-registration-initiation
.sfd-hdstx	application/vnd.hydrostatix.sof-data
.sfs	application/vnd.spotfire.sfs
.sgl	application/vnd.stardivision.writer-global
.sgml	text/sgml
#.sgml	text/x-sgml
.sgm	text/sgml
#.sgm	text/x-sgml
.sh	application/x-bsh
#.sh	application/x-sh
#.sh	application/x-shar
#.sh	application/x-shellscript
#.sh	text/x-script.sh
.shar	application/x-bsh
#.shar	application/x-shar
.shf	application/shf+xml
.shtml	text/html
#.shtml	text/x-server-parsed-html
.si	text/vnd.wap.si
.sic	application/vnd.wap.sic
.sid	audio/x-psid
.sig	application/pgp-signature
.silo	model/mesh
.sis	application/vnd.symbian.install
.sisx	application/vnd.symbian.install
.sit	application/x-sit
#.sit	application/x-stuffit
.sitx	application/x-stuffitx
.skd	application/vnd.koan
#.skd	application/x-koan
.skm	application/vnd.koan
#.skm	application/x-koan
.skp	application/vnd.koan
#.skp	application/x-koan
.skt	application/vnd.koan
#.skt	application/x-koan
.sl	text/vnd.wap.sl
#.sl	application/x-seelogo
.slc	application/vnd.wap.slc
.sldm	application/vnd.ms-powerpoint.slide.macroenabled.12
.sldx	application/vnd.openxmlformats-officedocument.presentationml.slide
.slt	application/vnd.epson.salt
.smf	application/vnd.stardivision.math
.smi	application/smil
#.smi	application/smil+xml
.smil	application/smil
#.smil	application/smil+xml
.snd	audio/basic
#.snd	audio/x-adpcm
.snf	application/x-font-snf
.so	application/octet-stream
.sol	application/solids
.spc	application/x-pkcs7-certificates
#.spc	text/x-speech
.spf	application/vnd.yamaha.smaf-phrase
.spl	application/futuresplash
#.spl	application/x-futuresplash
.spot	text/vnd.in3d.spot
.spp	application/scvp-vp-response
.spq	application/scvp-vp-request
.spr	application/x-sprite
.sprite	application/x-sprite
.spx	audio/ogg
.sqlite3	application/vnd.sqlite3
.sqlite	application/vnd.sqlite3
.sqlite-shm	application/vnd.sqlite3
.sqlite-wal	application/vnd.sqlite3
.sr2	image/x-sony-sr2
.src	application/x-wais-source
.srf	image/x-sony-srf
.srx	application/sparql-results+xml
.sse	application/vnd.kodak-descriptor
.ssf	application/vnd.epson.ssf
.ssi	text/x-server-parsed-html
.ssm	application/streamingmedia
.ssml	application/ssml+xml
.sst	application/vnd.ms-pki.certstore
.stc	application/vnd.sun.xml.calc.template
.std	application/vnd.sun.xml.draw.template
.step	application/step
.s	text/x-asm
.stf	application/vnd.wt.stf
.sti	application/vnd.sun.xml.impress.template
.stk	application/hyperstudio
#.stl	application/sla
#.stl	application/vnd.ms-pki.stl
#.stl	application/x-navistyle
.stl	model/stl
.stp	application/step
.str	application/vnd.pg.format
.stw	application/vnd.sun.xml.writer.template
.sus	application/vnd.sus-calendar
.susp	application/vnd.sus-calendar
.sv4cpio	application/x-sv4cpio
.sv4crc	application/x-sv4crc
.svd	application/vnd.svd
.svf	image/vnd.dwg
#.svf	image/x-dwg
.svg	image/svg+xml
.svgz	image/svg+xml
.svr	application/x-world
#.svr	x-world/x-svr
.swa	application/x-director
.swf	application/x-shockwave-flash
.swi	application/vnd.arastra.swi
.sxc	application/vnd.sun.xml.calc
.sxd	application/vnd.sun.xml.draw
.sxg	application/vnd.sun.xml.writer.global
.sxi	application/vnd.sun.xml.impress
.sxm	application/vnd.sun.xml.math
.sxw	application/vnd.sun.xml.writer
.talk	text/x-speech
.tao	application/vnd.tao.intent-module-archive
#.t	application/x-troff
.t	text/troff
.tar	application/x-tar
.tbk	application/toolbook
#.tbk	application/x-tbook
.tcap	application/vnd.3gpp2.tcap
.tcl	application/x-tcl
#.tcl	text/x-script.tcl
.tcsh	text/x-script.tcsh
.teacher	application/vnd.smart.teacher
.test	test/mimetype
#.test	test/mimetype/test
.tex	application/x-tex
.texi	application/x-texinfo
.texinfo	application/x-texinfo
.text	application/plain
#.text	text/plain
.tfm	application/x-tex-tfm
.tgz	application/gnutar
#.tgz	application/gzip
#.tgz	application/x-compressed
#.tgz	application/x-gzip
.tif	image/tiff
#.tif	image/x-tiff
.tiff	image/tiff
#.tiff	image/x-tiff
.tmo	application/vnd.tmobile-livetv
.torrent	application/x-bittorrent
.tpl	application/vnd.groove-tool-template
.tpt	application/vnd.trid.tpt
#.tr	application/x-troff
.tr	text/troff
.tra	application/vnd.trueapp
.trm	application/x-msterminal
.ts	video/mp2t
.tsi	audio/tsp-audio
.tsp	application/dsptype
#.tsp	audio/tsplayer
.tsv	text/tab-separated-values
.ttc	application/x-font-ttf
.ttf	application/x-font-ttf
.turbot	image/florian
.twd	application/vnd.simtech-mindmapper
.twds	application/vnd.simtech-mindmapper
.txd	application/vnd.genomatix.tuxedo
.txf	application/vnd.mobius.txf
.txt	text/plain
.u32	application/x-authorware-bin
.udeb	application/vnd.debian.binary-package
#.udeb	application/x-debian-package
.ufd	application/vnd.ufdl
.ufdl	application/vnd.ufdl
.uil	text/x-uil
.umj	application/vnd.umajin
.unis	text/uri-list
.uni	text/uri-list
.unityweb	application/vnd.unity
.unv	application/i-deas
.uoml	application/vnd.uoml+xml
.uris	text/uri-list
.uri	text/uri-list
.urls	text/uri-list
.ustar	application/x-ustar
#.ustar	multipart/x-ustar
.utz	application/vnd.uiq.theme
#.uu	application/octet-stream
.uu	text/x-uuencode
.uue	text/x-uuencode
.vcd	application/x-cdlink
.vcf	text/x-vcard
.vcg	application/vnd.groove-vcard
.vcs	text/x-vcalendar
.vcx	application/vnd.vcx
.vda	application/vda
.vdo	video/vdo
.vew	application/groupwise
.vis	application/vnd.visionary
.viv	video/vivo
#.viv	video/vnd.vivo
.vivo	video/vivo
#.vivo	video/vnd.vivo
.vmd	application/vocaltec-media-desc
.vmf	application/vocaltec-media-file
.voc	audio/voc
#.voc	audio/x-voc
.vor	application/vnd.stardivision.writer
.vos	video/vosaic
#.vox	application/x-authorware-bin
.vox	audio/voxware
.vqe	audio/x-twinvq-plugin
.vqf	audio/x-twinvq
.vql	audio/x-twinvq-plugin
#.vrml	application/x-vrml
.vrml	model/vrml
#.vrml	x-world/x-vrml
.vrt	x-world/x-vrt
.vsd	application/vnd.visio
#.vsd	application/x-visio
.vsdx	application/vnd.visio
.vsf	application/vnd.vsf
.vss	application/vnd.visio
.vssm	application/vnd.visio
.vssx	application/vnd.visio
.vst	application/vnd.visio
#.vst	application/x-visio
.vstm	application/vnd.visio
.vstx	application/vnd.visio
.vsw	application/vnd.visio
#.vsw	application/x-visio
.vtu	model/vnd.vtu
.vxml	application/voicexml+xml
.w3d	application/x-director
.w60	application/wordperfect6.0
.w61	application/wordperfect6.1
.w6w	application/msword
.wad	application/x-doom
.wasm	application/wasm
.wav	audio/vnd.wav
#.wav	audio/vnd.wave
#.wav	audio/wav
#.wav	audio/wav
#.wav	audio/wave
#.wav	audio/x-aiff
#.wav	audio/x-pn-wav
#.wav	audio/x-wav
#.wav	audio/x-wav
.wax	audio/x-ms-wax
.wb1	application/x-qpro
.wbmp	image/vnd.wap.wbmp
.wbs	application/vnd.criticaltools.wbs+xml
.wbxml	application/vnd.wap.wbxml
.wcm	application/vnd.ms-works
.wdb	application/vnd.ms-works
.weba	audio/webm
.web	application/vnd.xara
.webm	video/webm
.webp	image/webp
.whl	text/x-python
.wiz	application/msword
.wk1	application/x-123
.wks	application/vnd.ms-works
.wm	video/x-ms-wm
.wma	audio/x-ms-wma
.wmd	application/x-ms-wmd
#.wmf	application/x-msmetafile
.wmf	image/wmf
#.wmf	image/x-wmf
#.wmf	windows/metafile
.wmlc	application/vnd.wap.wmlc
.wmls	text/vnd.wap.wmlscript
.wmlsc	application/vnd.wap.wmlscriptc
.wml	text/vnd.wap.wml
.wmv	video/x-ms-wmv
.wmx	video/x-ms-wmx
.wmz	application/x-ms-wmz
.woff	font/woff
.woff2	font/woff2
.word	application/msword
.wp	application/wordperfect
.wp5	application/wordperfect
#.wp5	application/wordperfect6.0
.wp6	application/wordperfect
.wpd	application/vnd.wordperfect
#.wpd	application/wordperfect
#.wpd	application/x-wpwin
.wpl	application/vnd.ms-wpl
.wps	application/vnd.ms-works
.wq1	application/x-lotus
.wqd	application/vnd.wqd
.wri	application/mswrite
#.wri	application/x-mswrite
#.wri	application/x-wri
#.wrl	application/x-world
.wrl	model/vrml
#.wrl	x-world/x-vrml
.wrz	model/vrml
#.wrz	x-world/x-vrml
.wsc	text/scriplet
.wsdl	application/wsdl+xml
.wspolicy	application/wspolicy+xml
.wsrc	application/x-wais-source
.wtb	application/vnd.webturbo
.wtk	application/x-wintalk
.wvx	video/x-ms-wvx
.x32	application/x-authorware-bin
.x3d	application/vnd.hzn-3d-crossword
.x3f	image/x-sigma-x3f
.xap	application/x-silverlight-app
.xar	application/vnd.xara
.xbap	application/x-ms-xbap
.xbd	application/vnd.fujixerox.docuworks.binder
#.xbm	image/x-xbitmap
#.xbm	image/x-xbm
.xbm	image/xbm
.xdm	application/vnd.syncml.dm+xml
.xdp	application/vnd.adobe.xdp+xml
.xdr	video/x-amt-demorun
.xdw	application/vnd.fujixerox.docuworks
.xenc	application/xenc+xml
.xer	application/patch-ops-error+xml
.xfdf	application/vnd.adobe.xfdf
.xfdl	application/vnd.xfdl
.xgz	xgl/drawing
.xht	application/xhtml+xml
.xhtml	application/xhtml+xml
.xhvml	application/xv+xml
.xif	image/vnd.xiff
.xl	application/excel
.xla	application/excel
#.xla	application/vnd.ms-excel
#.xla	application/x-excel
#.xla	application/x-msexcel
.xlam	application/vnd.ms-excel.addin.macroenabled.12
.xlb	application/excel
#.xlb	application/vnd.ms-excel
#.xlb	application/x-excel
.xlc	application/excel
#.xlc	application/vnd.ms-excel
#.xlc	application/x-excel
.xld	application/excel
#.xld	application/x-excel
.xlk	application/excel
#.xlk	application/x-excel
.xll	application/excel
#.xll	application/vnd.ms-excel
#.xll	application/x-excel
.xlm	application/excel
#.xlm	application/vnd.ms-excel
#.xlm	application/x-excel
.xls	application/excel
#.xls	application/vnd.ms-excel
#.xls	application/x-excel
#.xls	application/x-msexcel
.xlsb	application/vnd.ms-excel.sheet.binary.macroenabled.12
.xlsm	application/vnd.ms-excel.sheet.macroenabled.12
.xlsx	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
.xlt	application/excel
#.xlt	application/vnd.ms-excel
#.xlt	application/x-excel
.xltm	application/vnd.ms-excel.template.macroenabled.12
.xltx	application/vnd.openxmlformats-officedocument.spreadsheetml.template
.xlv	application/excel
#.xlv	application/x-excel
.xlw	application/excel
#.xlw	application/vnd.ms-excel
#.xlw	application/x-excel
#.xlw	application/x-msexcel
.xm	audio/xm
.xml	application/xml
#.xml	application/rss+xml
#.xml	text/xml
.xmz	xgl/movie
.xo	application/vnd.olpc-sugar
.xop	application/xop+xml
.xpdl	application/xml
.xpi	application/x-xpinstall
.xpix	application/x-vnd.ls-xpix
#.xpm	image/x-xpixmap
.xpm	image/xpm
.x-png	image/png
.xpr	application/vnd.is-xpr
.xps	application/vnd.ms-xpsdocument
.xpw	application/vnd.intercon.formnet
.xpx	application/vnd.intercon.formnet
.xsl	application/xml
.xslt	application/xslt+xml
.xsm	application/vnd.syncml+xml
.xspf	application/xspf+xml
.xsr	video/x-amt-showrun
.xul	application/vnd.mozilla.xul+xml
.xvm	application/xv+xml
.xvml	application/xv+xml
.xwd	image/x-xwd
#.xwd	image/x-xwindowdump
#.xyz	chemical/x-pdb
#.xyz	chemical/x-xyz
.xyz	model/x-xyz
.yaml	application/yaml
#.yaml	application/x-yaml
.yml	application/yaml
#.yml	application/x-yaml
.z	application/x-compress
#.z	application/x-compressed
.zabw	application/x-abiword
.zaz	application/vnd.zzazz.deck+xml
.zip	application/zip
#.zip	application/x-zip-compressed
#.zip	application/x-compressed
#.zip	application/zip-compressed
#.zip	multipart/x-zip
.zir	application/vnd.zul
.zirz	application/vnd.zul
.zmm	application/vnd.handheld-entertainment+xml
.zoo	application/octet-stream
.zsh	text/x-script.zsh
